"Nombre ","Direccion","CP","Localidad","Provincia","Apellidos persona contacto","Nombre persona contacto","Telefono","Movil","Fax","email","web","sector","productos","formato y envase","Stand"
" ACEITES GUADALENTIN, S.L.","Avda. Virgen de los Dolores, 45",23485,"Pozo Alcón","Jaén","Gámez Moreno","Virgilio","953 738 035","677 461 173","953 738 447","vg@aceitesguadalentin.com","www.aceitesguadalentin.com",1,"Aceite de Oliva Virgen Extra. Cosméticos naturales de Aceite de Oliva. Monodosis Aceite de Oliva y Vinagre (Sector Horeca)","Pet 5, 2, 1 l. Cristal: 1, 3/4, 1/2, 1/4 l. Monodosis 20 y 10 ml. Pack hostelería. Jabones","2043-2048;2099-2104 (DIPUTACIÓN PROVINCIAL DE JAÉN)"
"ACEITES SAN ANTONIO","Plaza Constitución, 4 - 1ª Planta",23001,"Jaén","Jaén","Gavilán Linares","Isidro J.","953 190 700",,"953 243 923","info@aceitessanantonio.com","www.aceitessanantonio.com",1,"Aceite de Oliva Virgen Extra ""Cortijo La Torre Premium""; Aceite de Oliva Virgen Extra ""Torreluna Selección""; Aceite de Oliva Virgen Extra ""Cortijo el Obispo""","Botellas de 500 cc. y 250 cc.; Garrafas pet 5 lts.","2043-2048;2099-2104 (DIPUTACIÓN PROVINCIAL DE JAÉN)"
"ALMAZARA SAN PABLO","Crtra. Madrid-Cádiz, Km. 294,5 (Travesía Bailén)",23710,"Bailén","Jaén","Padilla García","Pablo","953 670 517","625 315 290","953 670 517","ventas@aceitespadilla.com","www.aceitespadilla.com/.es",1,"Padilla Oliva Bio (aceite ecológico); Padilla 1808 un aceite convencional","Diferentes envases en lata, vidrio, pet, etc,...; Lata 5 l., Lata 3l., Lata 1l., Vidrio 500 ml., 750 ml., 250 ml., 100 ml., 50 ml.; Pet 5l., 3l., 2l., 1l.","2043-2048;2099-2104 (DIPUTACIÓN PROVINCIAL DE JAÉN)"
"BODEGAS MARCELINO SERRANO","Avda. de Iberoamérica, 27 Bajo",23680,"Alcalá la Real","Jaén","Serrano Serrano","Blanca María","953 585 380","647 626 955","953 585 380","info@marcelinoserrano.com","www.marcelinoserrano.com",16,"Vinos de mesa y con indicación geográfica blancos, rosados, tintos cosecha y con envejecimiento. Marcas: ""Marcelino Serrano"", ""Glosa"", ""Blanca María"", ""Privilegio Reyes Católicos"".","Botellas de 0, 75 l. de capacidad y 0,375 l.","2043-2048;2099-2104 (DIPUTACIÓN PROVINCIAL DE JAÉN)"
"CÁRNICAS J. CHICA, S.L.","Pol.Ind. Los Olivares. C/Escañuela. Parc. 31",23009,"Jaén","Jaén","Chica Fuentes","José Manuel","953 281 049","629 578 013","953 249 996","josem.chica@carnicaschica.com","www.carnicaschica.com",13,"Cabrito, cordero, lechal y cochillo. Producto fresco, congelado y en atmósfera controlada","Piezas individuales y formatos de hostelería","2043-2048;2099-2104 (DIPUTACIÓN PROVINCIAL DE JAÉN)"
"CÁRNICAS SIERRA DE CAZORLA","Camino Real, s/n",23477,"Chilluévar","Jaén","Jódar","Juan José","953 717 080","620 234 995","953 717 156","atencionalcliente@carnicascazorla.com","www.carnicascazorla.com",4,"Patés (perdiz, jabalí, morcilla, ciervo, faisán, pintada,..); Platos preparados de  alta gama (Flan de Manitas, Timbal de Rabo de Toro, Carrillada con habitas,...), y embutidos (morcilla, chorizo, caldera, relleno, butifarra,...)","Nuestros patés y platos preparados están envasados en tarros de cristal de varios formatos. Los platos preparados y patés esterilizados tienen una caducidad de 18 meses, en la de los patés refrigerados es de 6 meses.","2043-2048;2099-2104 (DIPUTACIÓN PROVINCIAL DE JAÉN)"
"CÁRNICAS SIERRA DE CAZORLA","Camino Real, s/n",23477,"Chilluévar","Jaén","Jódar","Juan José","953 717 080","620 234 995","953 717 156","atencionalcliente@carnicascazorla.com","www.carnicascazorla.com",13,"Patés (perdiz, jabalí, morcilla, ciervo, faisán, pintada,..); Platos preparados de  alta gama (Flan de Manitas, Timbal de Rabo de Toro, Carrillada con habitas,...), y embutidos (morcilla, chorizo, caldera, relleno, butifarra,...)","Nuestros patés y platos preparados están envasados en tarros de cristal de varios formatos. Los platos preparados y patés esterilizados tienen una caducidad de 18 meses, en la de los patés refrigerados es de 6 meses.","2043-2048;2099-2104 (DIPUTACIÓN PROVINCIAL DE JAÉN)"
"COBIOSUR","Juan Carlos I, 9",23200,"La Carolina","Jaén","Gómez Montiel","Antonio","953 680 084","605 347 268 / 630 252 254","953 680 084","cobiosur@hotmail.com",,13,"Carne ecológica de cordero, ternera y cabrito, producida en la provincia de Jaén","Envasado al vacío o en atmósfera controlada, en paquetes de aproximadamente 1 kg., y perfectamente despiezado: pierna, paletilla, costilla falda y cuello en el caso del cordero, y solomillo, entrecot, tapa, etc,..","2043-2048;2099-2104 (DIPUTACIÓN PROVINCIAL DE JAÉN)"
"HACIENDA LA LAGUNA, S.L.","Camino de La Laguna, s/n",23529,"Baeza","Jaén","Hermsdorf","Isabel","953 765 100 (ext. 12)","618 653 807","953 765 106","export@aceiteslaguna.com","www.aceiteslaguna.com",1,"Fabricación y venta de Aceites de Oliva Virgen Extra de primera presión en frio. Variedades Picual, Arbequina y Manzanilla. Elaboración de nuestra propia Linea Gourmet Coupage Virgen Extra, mezcla de las tres variedades anteriores.","Con una amplia variedad de embotellado, envasamos desde 20 ml. hasta 1l. en cristal, de 500 ml., 1, 2 y 5 l. en latas de Metal y de 1,2 y 5 l. en PET (plástico).","2043-2048;2099-2104 (DIPUTACIÓN PROVINCIAL DE JAÉN)"
"LA TIENDA DEL ACEITE DE JAÉN","Antigua Ctra. de Martos, PK 1,7",23160,"Los Villares","Jaén","Gallardo Jiménez","Luis","953 321 004",,,"almazarajimenez@yahoo.es","www.tiendadelaceite.com",1,"Aceite de Oliva Virgen Extra","5 l., 2 l., 1 l. en pet; 750, 500,250,175,100,40 ml. en vidrio.","2043-2048;2099-2104 (DIPUTACIÓN PROVINCIAL DE JAÉN)"
"OLIVADOL","Ctra. de Santo Tomé, Km. 1",23469,"El Molar - Cazorla","Jaén","Humanez","Manuela","953 730 733",,"953 731 973","vado-olivo@agrisanriegos.es",,1,"Aceite","5 l. en pet, 750 ml., 500 ml. y 250 ml. en cristal","2043-2048;2099-2104 (DIPUTACIÓN PROVINCIAL DE JAÉN)"
"O-MED ACEITE DE OLIVA VIRGEN EXTRA","Avda. de Andalucía, s/n",23110,"Pegalajar","Jaén","García","Paula","699 313 240","699 313 240","952 583 686","pgarcia@omedoil.com","www.omedoil.com",1,"Aceite de Oliva Virgen Extra, Vinagre de Vino Charodonnay, Flor de sal.","Aceite de Oliva Virgen Extra: botella 500 ml., lata 250 y 1000 ml., Vinagre de vino Chardonnay: 500 ml., Flor de sal: 100 y 200 gr.","2043-2048;2099-2104 (DIPUTACIÓN PROVINCIAL DE JAÉN)"
"ORO BAILÉN RESERVA FAMILIAR","Ctra. de Plomeros (Casa del Agua)",23730,"Villanueva de la Reina","Jaén","Gálvez González","José","953 548 038","675 732 323","953 548 038","info@orobailen.com","www.orobailen.com",1,"Aceite de Oliva Virgen Extra","Envase de cristal oscuro en: 250 ml., 500 ml. y 750 ml.","2043-2048;2099-2104 (DIPUTACIÓN PROVINCIAL DE JAÉN)"
"PATATAS FRITAS SANTO REINO","Crtra. de Granada, Km. 40 A",23080,"Jaén","Jaén","Francisco","Gutiérrez Expósito","953 239 468","649 285 494","953 245 140","santoreino@amconta.com","www.santoreino.com",7,"Patatas fritas y frutos secos","Patatas fritas. Varios formatos; Frutos secos. Bolsa 200 gr.; Snacks. Varios formatos.","2043-2048;2099-2104 (DIPUTACIÓN PROVINCIAL DE JAÉN)"
"PATATAS FRITAS SANTO REINO","Crtra. de Granada, Km. 40 A",23080,"Jaén","Jaén","Francisco","Gutiérrez Expósito","953 239 468","649 285 494","953 245 140","santoreino@amconta.com","www.santoreino.com",10,"Patatas fritas y frutos secos","Patatas fritas. Varios formatos; Frutos secos. Bolsa 200 gr.; Snacks. Varios formatos.","2043-2048;2099-2104 (DIPUTACIÓN PROVINCIAL DE JAÉN)"
"S.C.A. TRUJAL DE MÁGINA","Paraje Llanos de Ochoa, s/n",23120,"Cambil","Jaén","Guzmán","Antonio","953 300 567","626 022 200","953 300 567","info@scatrujaldemagina.com","www.scatrujaldemagina.com",1,"Aceite de Oliva Virgen Extra Ecológico y Convencional. Marcas: ""Verde Salud"" Ecológico, ""Castillo de Alhabar"" Convencional","Latas 5-2,5 y 1 l.; Garrafa Pet 5 l.; Bot. 1l. Pet; Bot. cristal 750, 500, 250 ml.","2043-2048;2099-2104 (DIPUTACIÓN PROVINCIAL DE JAÉN)"
"TATIS","Alemania, s/n (P.I. La Aquisgrana)",23200,"La Carolina","Jaén","Rodríguez Cortés","Gracia","953 680 580","651 983 938","953 660 525","info@tatisgourmet.com","www.tatisgourmet.com",2,"Aceitunas, encurtidos y banderillas","Formato Galón PET y/o cristal 5 Kgs., Tarrina PET 1,100 kgs. Tarro cristal H-65 400 grs, Mini cristal 200 grs. Versión corta: PET y/o cristal en formato galón, Tarrina H-65 y mini.","2043-2048;2099-2104 (DIPUTACIÓN PROVINCIAL DE JAÉN)"
"TUCCIOLIVA","Príncipe Felipe, 20",23600,"Martos","Jaén","Garrido Jiménez","Ángel","953 550 057","677 551 080","953 550 057","amadorsca@teleline.es","www.amadorsca.es",1,"Aceite de Oliva Virgen Extra","750 c.c. Bot. Vidrio - 500 c.c. Vidrio - 700 c.c. Vidrio","2043-2048;2099-2104 (DIPUTACIÓN PROVINCIAL DE JAÉN)"
"UNIOLIVA","Córdoba, 9",23400,"Úbeda","Jaén","Guzmán de la Roza","Antonio","953 756 840",,"953 758 121","almazara@unioliva.es","www.unioliva.es",1,"Aceite de Oliva Virgen Extra, Aceite de Oliva Virgen Extra Saborizado, Aceite de Oliva; Aceite de Orujo de Oliva, Vinagre de Jerez",,"2043-2048;2099-2104 (DIPUTACIÓN PROVINCIAL DE JAÉN)"
"DUENDESOL","Ctra. Almedinilla-Fuente Tójar, s/n",14812,"Almedinilla","Córdoba","Millán Aranda","José Luis","957 117 273","667 499 840","957 703 445","jlma@gecoem.com",,4,"Mayonesa, salsa fina, ketchup, mostaza, salsas frías, salsas calientes y platos preparados","Plástico 300 gr/ml, Vidrio 450/225 ml., Monodosis, Formatos industriales",2195
"E. MORENO","Avda. de Andalucía, 65",41560,"Estepa","Sevilla","Espinosa de los Monteros","Pilar","955 912 696",,"955 912 908","exportacion@emoreno.com","www.emoreno.com",11,"Mantecados, Polvorones, Mazapanes, Turrones, Bombones","Envases de plástico o cartón. Varios tipos de formatos, desde 80 gr. hasta 5000 gr.",2142
"EBRO PULEVA, S.A.","Real, 43",41920,"San Juán de Aznalfarache","Sevilla","Pardo","José Luis","954 589 200",,"954 769 579","joseluis.pardo@herba.es","www.ebropuleva.com",4,"Arroz, pastas, pastas cocinadas, biscotes, sémolas, harinas, purés, trigo tierno, leches enriquecidas (Omega 3, calcio) leche UHT (entera, semi y desnatada), batidos, alimentación infantil (leche crecimiento, papillas), nata, mantequilla.","150, 250 gr., 500 gr. 1Kg., 2 Kg. 5 Kg. (cartón, papel, plástico); 175 ml., 200 ml., 500 ml., 750 ml., 900 gr., 1l. (brik, lata, papel, botella)","2163-2166"
"EBRO PULEVA, S.A.","Real, 43",41920,"San Juán de Aznalfarache","Sevilla","Pardo","José Luis","954 589 200",,"954 769 579","joseluis.pardo@herba.es","www.ebropuleva.com",15,"Arroz, pastas, pastas cocinadas, biscotes, sémolas, harinas, purés, trigo tierno, leches enriquecidas (Omega 3, calcio) leche UHT (entera, semi y desnatada), batidos, alimentación infantil (leche crecimiento, papillas), nata, mantequilla.","150, 250 gr., 500 gr. 1Kg., 2 Kg. 5 Kg. (cartón, papel, plástico); 175 ml., 200 ml., 500 ml., 750 ml., 900 gr., 1l. (brik, lata, papel, botella)","2163-2166"
"EBRO PULEVA, S.A.","Real, 43",41920,"San Juán de Aznalfarache","Sevilla","Pardo","José Luis","954 589 200",,"954 769 579","joseluis.pardo@herba.es","www.ebropuleva.com",10,"Arroz, pastas, pastas cocinadas, biscotes, sémolas, harinas, purés, trigo tierno, leches enriquecidas (Omega 3, calcio) leche UHT (entera, semi y desnatada), batidos, alimentación infantil (leche crecimiento, papillas), nata, mantequilla.","150, 250 gr., 500 gr. 1Kg., 2 Kg. 5 Kg. (cartón, papel, plástico); 175 ml., 200 ml., 500 ml., 750 ml., 900 gr., 1l. (brik, lata, papel, botella)","2163-2166"
"EL TÍO LAS PAPAS","La Cruz,48",29328,"Sierra de Yeguas","Málaga","Conde Caro","Manuel","952 746 571",,"952 746 571","info@eltiodelaspapas.com","www.eltiodelaspapas.com",10,"Patatas Fritas, Cocktail, Cortezas, Patatas light, Ruedas","Patatas fritas (280 gr. - Cajas de 10 bolsas,  150 gr.- Cajas de 10 bolsas, 1000 gr. - Cajas de 3 bolsas); Cocktail (80 gr. - Cajas de 10 bolsas); Cortezas (80 gr. - Cajas de 10 bolsas); Patatas Light (100 gr. - Cajas de 10 bolsas); Ruedas (80 gr. - Cajas de 10 bolsas)",2051
"FACOPE","Prolongación Muelle Pesquero, 261-262",11201,"Algeciras","Cádiz","Fernández Muñoz","Nicolás","956 587 402","666 400 680","956 666 798","info@and-cofrad-pesca.com",,12,"Agrupamos la mayoría de las lonjas de Andalucía que comercializan los productos pesqueros de primera venta y que tienen marcas distintivas de calidad y promoción, incluidas aquellas con la Calidad Certificada de Andalucía.",,2031
"FEDERACIÓN  ANDALUZA DE COMPRADORES DE PESCADOS EN LONJA - FEDACOPESCA","Aguilar, 16",21410,"Isla Cristina","Huelva","Cordero Orta (presidente)","Carmelo","959 332 902","629 576 637","959 332 902","fedacopesca@fedacopesca.es","www.fedacopesca.es",9,12,,2202
"FEDERACIÓN  ANDALUZA DE COMPRADORES DE PESCADOS EN LONJA - FEDACOPESCA","Aguilar, 16",21410,"Isla Cristina","Huelva","Cordero Orta (presidente)","Carmelo","959 332 902","629 576 637","959 332 902","fedacopesca@fedacopesca.es","www.fedacopesca.es",12,12,,2202
"GOBIERNO DE CANTABRIA-CONSEJERÍA DE DESARROLLO RURAL, GANADERÍA, PESCA Y BIODIVERSIDAD","Héroes del 2 de Mayo, s/n",39600,"Muriedas","Cantabria","Mier Lobato","Fernando","942 269 855",,"942 269 856","demier_f@odeca.es","www.odeca.com",9,,,"2117-2120"
"HEINEKEN ESPAÑA, S.A.","Avda. Andalucia,1",41007,"Sevilla","Sevilla","Jiménez","Armando",,"629 562 076",,"armando.jimenez@heineken.es","www.cruzcampo.es",5,"Cerveza",,"2014-2017"
"HERME ORTIZ","Juan de Ledesma, 35",41006,"Sevilla","Sevilla","Ortíz Molina","Francisco","902 223 212",,"954 934 304","francisco.gonzalez@hermeortiz.com","www.hermeortiz.com",12,"Gran variedad en pescado fresco, congelado, envasado y seco.","Formatos varios.",2201
"HERPAC","Hermanos Romero Abreu, 3",11160,"Barbate","Cádiz","Vázquez Varo","José Mª","956 430 746","670 875 332","956 433 520","herpac@herpac.com","www.herpac.com",3,"Salazones (Mojama e ijada de atún rojo y yellowfin, bonito, huevas variadas y sarda), Ahumados (salmón, bacalao y atún) y Conservas (atún rojo y yellowfin, melva canutera,...)","Salazones y ahumados: Vacío (peso variable) y tarrinas (300, 700 y 1000 gr.) cuando van con aceite. Conservas: Tarros de cristal (200 g.) y latas (RO-Variables)",2086
"HERPAC","Hermanos Romero Abreu, 3",11160,"Barbate","Cádiz","Vázquez Varo","José Mª","956 430 746","670 875 332","956 433 520","herpac@herpac.com","www.herpac.com",4,"Salazones (Mojama e ijada de atún rojo y yellowfin, bonito, huevas variadas y sarda), Ahumados (salmón, bacalao y atún) y Conservas (atún rojo y yellowfin, melva canutera,...)","Salazones y ahumados: Vacío (peso variable) y tarrinas (300, 700 y 1000 gr.) cuando van con aceite. Conservas: Tarros de cristal (200 g.) y latas (RO-Variables)",2086
"HERPAC","Hermanos Romero Abreu, 3",11160,"Barbate","Cádiz","Vázquez Varo","José Mª","956 430 746","670 875 332","956 433 520","herpac@herpac.com","www.herpac.com",6,"Salazones (Mojama e ijada de atún rojo y yellowfin, bonito, huevas variadas y sarda), Ahumados (salmón, bacalao y atún) y Conservas (atún rojo y yellowfin, melva canutera,...)","Salazones y ahumados: Vacío (peso variable) y tarrinas (300, 700 y 1000 gr.) cuando van con aceite. Conservas: Tarros de cristal (200 g.) y latas (RO-Variables)",2086
"HERPAC","Hermanos Romero Abreu, 3",11160,"Barbate","Cádiz","Vázquez Varo","José Mª","956 430 746","670 875 332","956 433 520","herpac@herpac.com","www.herpac.com",12,"Salazones (Mojama e ijada de atún rojo y yellowfin, bonito, huevas variadas y sarda), Ahumados (salmón, bacalao y atún) y Conservas (atún rojo y yellowfin, melva canutera,...)","Salazones y ahumados: Vacío (peso variable) y tarrinas (300, 700 y 1000 gr.) cuando van con aceite. Conservas: Tarros de cristal (200 g.) y latas (RO-Variables)",2086
"HUERTA DE ALBALA","Ctra-CA 6105 Km. 4",11630,"Arcos de la Frontera","Cádiz","Luca de Tena","Javier","647 746 047","647 746 048 / 647 746 047","856 023 053","j.lucadetena@huertadealbala.com","www.huertadealbala.com",16,"Vinos Tintos: Taberner 2006, Taberner nº 1 2006 y Barbazul; Vinos Rosado: Barbarosa 2008 y Taberner Rosado","Taberner y Barbazul: En cajas de 6 y 12 botellas, botella de vidrio 75 cl. Taberner nº 1 2006, Barbarosa y Taberner rosado: Caja de 6 botellas, botella vidrio 75 cl.",2025
"I.A. MARCIENSE, S.A.","Travesía San Ignacio, s/n",41620,"Marchena","Sevilla","Ponce","Joaquín","955 845 400",,"955 846 484","iamar@marciense.es","www.marciense.es",2,"Aceitunas verdes: enteras, deshuesadas, en rodajas y rellenas de pimiento, almendra y anchoa. Aceitunas negras: enteras, deshuesadas y en rodajas / Green olives: plain, pitted, sliced and stuffed with pepper, almond and anchovy. Black olives: plain, pitted and sliced.","Envasadas en frascos y latas de diversos tamaños / Packed in jars and tins of different sizes.",2192
"IBESA (IBÉRICO DE BELLOTA, S.A.)","Pol. Ind. Cárnico, s/n",14440,"Villanueva de Córdoba","Córdoba","Blanco","Alfonso","957 122 000",,"957 121 981","info@ibesa.es","www.ibesa.es",3,"Jamón ibérico de bellota, paleta, embutidos, caña de lomo, carnes (todo ibérico de bellota)","Envases individuales pieza por pieza, loncheados y loteados.",2214
"IBESA (IBÉRICO DE BELLOTA, S.A.)","Pol. Ind. Cárnico, s/n",14440,"Villanueva de Córdoba","Córdoba","Blanco","Alfonso","957 122 000",,"957 121 981","info@ibesa.es","www.ibesa.es",13,"Jamón ibérico de bellota, paleta, embutidos, caña de lomo, carnes (todo ibérico de bellota)","Envases individuales pieza por pieza, loncheados y loteados.",2214
"INDUSTRIAS CÁRNICAS CAMPOREAL","Arquitectura, 3 Torre 7 Plta. 11, Mod. 1-2",41015,"Sevilla","Sevilla","Ramblado Romero","José J.","954 311 334","689 414 329","954 311 333","jjramblado@camporeal.eu","www.camporeal.eu",13,"Carne de cerdo blanco, en canal, despieces y todos sus derivados y distintas presentaciones.","En Canal, despieces a granel, embarquetados y al vacío.",2082
"INÉS ROSALES","P.E. Vereda de la Herrería, s/n (Fábrica) / (Razón social: Real, 97 41950 Castilleja de la Cuesta, Sevilla)",41830,"Huevar de Aljarafe","Sevilla","Sánchez","Beatriz","954 756 427","670 409 089","954 756 335","grupo@inesrosales.com","www.inesrosales.com",11,"Tortas de aceite, Tortas de polvorón, Cortadillos, Hojaldrinas, Pestiños Azucar / Miel. Tortas de aceite de 3 nuevas variedades: - Seville Orange (Naranja de Sevilla), - Rosemary & Thyme (Romero & Tomillo), - Sesame & Sea Salt (Salada)",,"2023-2024"
"JAMONES LAZO","Avda. Portugal, 6",21230,"Cortegana","Huelva","Lahore Bravo","Augusto","959 131 560",,"959 131 869","alahore@jamoneslazo.com","www.jamoneslazo.com",13,,,"2135;2138"
"LA ALMADRABA","Luís de Morales, 32 Planta 3ª Mod. 31",41018,"Sevilla","Sevilla","Santos","Ana","954 987 938",,"954 988 692","anasantos@atundealmadraba.com","www.almadrabasandaluzas.com",12,"Atún rojo de Almadraba","En fresco y congelado en cualquier tipo de envase al por mayor y al por menor","2088-2089"
"LA CHANCA - SALPESCA, S.L.","P.I. El Olivar Parcela, 3",11160,"Barbate","Cádiz","Gómez","José Luis","956 435 805 / 956 430 979",,"956 431 553","salpesca@salpesca.com","www.salpesca.com",6,"Salazones, conservas y ahumados","Conservas en envases de vidrio y metal de diferentes formatos.",2211
"LANDALUZ ASOCIACIÓN EMPRESARIAL DE LA CALIDAD CERTIFICADA","Avda. de Grecia, 8",41012,"Sevilla","Sevilla","de Porres","Juan","954 234 849","600 539 553","954 623 206","comunicacion@landaluz.es","www.landaluz.es",9,,,"2107-2112"
"LOS ALCALAREÑOS","Mascareta, 53",41940,"Tomares","Sevilla","Gómez Soriano","Juan Antonio","954 150 198",,"954 150 198","yeye@losalcalarenos.e.telefonica.net",,8,"Taquitos de jamón: ibéricos y serranos. Somos también distribuidores de ibéricos y productos Gourmet.","100 gr. para particulares - 250 gr. y 2000 gr. para la hostelería. Tarros de cristal en aceite de 90 gr. y 140 gr.","2037;2040"
"LOS ALCALAREÑOS","Mascareta, 53",41940,"Tomares","Sevilla","Gómez Soriano","Juan Antonio","954 150 198",,"954 150 198","yeye@losalcalarenos.e.telefonica.net",,8,"Taquitos de jamón: ibéricos y serranos. Somos también distribuidores de ibéricos y productos Gourmet.","100 gr. para particulares - 250 gr. y 2000 gr. para la hostelería. Tarros de cristal en aceite de 90 gr. y 140 gr.","2037;2040"
"LOS ALCALAREÑOS","Mascareta, 53",41940,"Tomares","Sevilla","Gómez Soriano","Juan Antonio","954 150 198",,"954 150 198","yeye@losalcalarenos.e.telefonica.net",,13,"Taquitos de jamón: ibéricos y serranos. Somos también distribuidores de ibéricos y productos Gourmet.","100 gr. para particulares - 250 gr. y 2000 gr. para la hostelería. Tarros de cristal en aceite de 90 gr. y 140 gr.","2037;2040"
"MARE NOSTRUM","Ctra.Castiblanco-Almadén, Km. 2,6",41230,"Castilblanco de los Arroyos","Sevilla","Orzaez Gálvez","María","955 734 889",,"955 734 889","maria@lacteos-mare-nostrum.com","www.lacteos-mare-nostrum.com",15,"Castilblanco Capri Afinado, Capri Ceniza Afinado, Capri al Cuadrado Afinado, Flor d'argent, Capri Lavande Afinado, Castilblanco Dedal, Castilblanco Flor","Formatos entre 20 y 450 grs.",2194
"MARISCOS CASTELLAR","Pol. Ind. El Condado Ctra. Linares/Orcera Km. 50",23260,"Santisteban del Puerto","Jaén","García Calero","Josefina","953 401 593",,"953 402 779","info@mariscoscastellar.es","www.mariscoscastellar.es",3,"Cocedero de mariscos y distribución de productos congelados: langostino, gamba, cigalas, mariscadas cocidas, navajas, almejas, todo tipo de pescados, carnes, verduras y precocinados congelados","Formatos para hostelería y para alimentación. Envases muy cuidados en presentación de producto.",2056
"MARISCOS FRESCOHUELVA","Lonja Pescadería, Mod. 83/84/91",21001,"Huelva","Huelva","González López","Patrocinio","959 259 881","647 308 032","959 250 857","patrogonzalez@frescohuelva.com","www.frescohuelva.com",12,12,,2215
"MARISCOS MÉNDEZ","Polg. Pesquero Norte, s/n",21002,"Huelva","Huelva","Salas Macías","Antonio J.","959 281 785",,"959 541 907","info@mariscosmendez.com","www.mariscosmendez.com / www.productosbrisamar.com",3,"Marisco fresco elaborado y cocido, Marisco congelado, Productos en semiconservas, Productos precocinados en frescos",,2032
"MARISCOS MÉNDEZ","Polg. Pesquero Norte, s/n",21002,"Huelva","Huelva","Salas Macías","Antonio J.","959 281 785",,"959 541 907","info@mariscosmendez.com","www.mariscosmendez.com / www.productosbrisamar.com",12,"Marisco fresco elaborado y cocido, Marisco congelado, Productos en semiconservas, Productos precocinados en frescos",,2032
"MARKA'S ESTUCHES Y CAJAS FORRADAS, S.L.","P. E. Venta Martín, Nave 1",11600,"Ubrique","Cádiz","Jiménez Millán","María G.","956 460 483","699 037 263","956 461 819","comercial@marka-s.com","www.marka-s.com",8,"Estuches y cajas forradas. Bolsas de lujo.","Dedicada a la fabricación de estuches de lujo, cajas y envases en general. Totalmente personalizados y a medida. Creando una nueva imagen atractiva de cara al consumidor final.",2001
"OLEOCAMPO","Avda. Constitución, 101",23640,"Torre del Campo","Jaén","Martínez Díaz","Manuel","953 410 111",,"953 415 164","info@oleocampo.com","www.oleocampo.com",1,"Aceite de Oliva Virgen Extra. Marcas comerciales: Fruto del Sur, Oleocampo, Esencia del Sur, Torre Sur.","Formatos de vidrio desde 100 ml., 250 ml., 500 ml., 750 ml. y 1 l.; Formatos de 1 l., 2 l. 3 l. y 5 l.Pet. Monodosis y miniaturas de 20 ml. y 25 ml. Formatos de 3 l. y 5 l. lata.",2087
"OLEUM VIRIDE","Alta, 10",11688,"Zahara de la Sierra","Cádiz","M. Nazareno","Leonardo","956 326 794","609 581 261","956 326 795","export@oleumviride.com","www.oleumviride.com",1,"Aceite de Oliva Virgen Extra Ecológico / Organic Extra Virgin Olive Oil, Sello Ecológico / Organic Seal: CAAE, NOP / USDA","500 ml. & 250 ml. botellas en estuches / bottles in cases & bolsas de papel / paper bag",2141
"OPP 51","Rec. Int. Zona Franca - Edificio Melkart, 22 B",11011,"Cádiz","Cádiz","Concepción Toscano","Antonio","956 205 685",,"956 205 687","admon@asemaonline.com","www.doradadecrianzadelsur.com",9,"Dorada de crianza del Sur, Dorada de crianza de Calidad Certificada, Pescado de Estero",,"2193; 2196; 2197"
"OPP 51","Rec. Int. Zona Franca - Edificio Melkart, 22 B",11011,"Cádiz","Cádiz","Concepción Toscano","Antonio","956 205 685",,"956 205 687","admon@asemaonline.com","www.doradadecrianzadelsur.com",12,"Dorada de crianza del Sur, Dorada de crianza de Calidad Certificada, Pescado de Estero",,"2193; 2196; 2197"
"OROBAENA, S.A.T.","Ctra. A-305 (Baena Albendín), Km. 58,200",14850,"Baena","Córdoba","Piedrahita Toro","Manuel","957 670 706",,"957 691 807","orobaena@wanadoo.es","www.orobaena-sat.com",1,"Aceite de Oliva Virgen Extra con Denominación Origen Baena. Aceite de Oliva Extra ""Deshuesado"" con Denominación Origen Baena.","Lata de 5 l. marca Orobaena (D.O. Baena), Botella de 0,5 l. marca OroBaena (D.O. Baena), Botella de 0,5 l. marca OroNovus (procedente de aceituna previamente deshuesada) (D.O. Baena). Garrafa Pet de 5 l. marca Orbasat.",2199
"PARQUE NATURAL DE ANDALUCÍA","Johan G.Gutenberg, s/n Edif. Kuwait",41092,"Sevilla","Sevilla","Chacón","Mª Dolores","950 393 602",,"950 391 218","fasepan@marcaparquenatural.com","www.marcaparquenatural.com",1,"Productos agroalimentarios elaborados en parques naturales de andalucía",,"2026-2027"
"PARQUE NATURAL DE ANDALUCÍA","Johan G.Gutenberg, s/n Edif. Kuwait",41092,"Sevilla","Sevilla","Chacón","Mª Dolores","950 393 602",,"950 391 218","fasepan@marcaparquenatural.com","www.marcaparquenatural.com",5,"Productos agroalimentarios elaborados en parques naturales de andalucía",,"2026-2027"
"PARQUE NATURAL DE ANDALUCÍA","Johan G.Gutenberg, s/n Edif. Kuwait",41092,"Sevilla","Sevilla","Chacón","Mª Dolores","950 393 602",,"950 391 218","fasepan@marcaparquenatural.com","www.marcaparquenatural.com",6,"Productos agroalimentarios elaborados en parques naturales de andalucía",,"2026-2027"
"PARQUE NATURAL DE ANDALUCÍA","Johan G.Gutenberg, s/n Edif. Kuwait",41092,"Sevilla","Sevilla","Chacón","Mª Dolores","950 393 602",,"950 391 218","fasepan@marcaparquenatural.com","www.marcaparquenatural.com",7,"Productos agroalimentarios elaborados en parques naturales de andalucía",,"2026-2027"
